Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
Angola,Luanda
Argentina,Buenos Aires
Armenia,Yerevan
Australia,Sydney
Austria,Vienna
Azerbaijan,Baku
Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Brussels
Belize,Belize City
Benin,Porto-Novo
Bolivia,Sucre
Bosnia and Herzegovina,Sarajevo
Botswana,Gaborone
Brazil,Brasilia
Brunei,Bandar Seri Begawan
Bulgaria,Sofia
Burkina Faso,Ouagadougou
Burundi,Gitega
Cambodia,Phnom Penh
Cameroon,Yaoundé
Canada,Ottawa
Central African Republic,Bangui
Chad,N'Djamena
Chile,Santiago
China,Beijing
Colombia,Bogota
Comoros,Moroni
Democratic Republic of the Congo,Kinshasa
Republic of the Congo,Brazzaville
Costa Rica,San José
Côte d'Ivoire,Yamoussoukro
Croatia,Zagreb
Cuba,Havana
Czechia,Prague
Denmark,Copenhagen
Djibouti,Djibouti
Dominican Republic,Santo Domingo
Timor-Leste,Dili
Ecuador,Quito
Egypt,Cairo
El Salvador,San Salvador
United Kingdom,London
Equatorial Guinea,Malabo
Eritrea,Asmara
Estonia,Tallinn
Swaziland,Manzini
Ethiopia,Addis Ababa
Fiji,Suva
Finland,Helsinki
France,Paris
Gabon,Libreville
Gambia,Serrekunda
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Greece,Athens
Guatemala,Guatemala City
Guinea,Coyah
Guinea-Bissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Hungary,Budapest
Iceland,Reykjavik
India,New Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
Kosovo,Pristina
Kuwait,Kuwait City
Kyrgyzstan,Bishkek
Laos,Vientiane
Latvia,Riga
Lebanon,Beirut
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Lithuania,Vilnius
Luxembourg,Luxembourg
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Maldives,Malé
Mali,Bamako
Malta,Valletta
Mauritania,Nouakchott
Mauritius,Port Louis
México,Mexico City
Moldova,Chișinău
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Morocco,Rabat
Mozambique,Maputo
Myanmar,Pyinmana [Nay Pyi Taw]
Namibia,Windhoek
Nepal,Kathmandu
Netherlands,Amsterdam
New Zealand,Wellington
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
North Korea,P'yŏngyang
North Macedonia,Skopje
United Kingdom,Belfast
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Panama,Panama City
Papua New Guinea,Port Moresby
Paraguay,Asuncion
Peru,Lima
Philippines,Manila
Poland,Warsaw
Portugal,Lisbon
Qatar,Doha
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
Samoa,Apia
São Tomé and Príncipe,São Tomé
Saudi Arabia,Riyadh
United Kingdom,Edinburgh
Senegal,Dakar
Serbia,Belgrade
Sierra Leone,Freetown
Singapore,Singapore
Slovakia,Bratislava
Slovenia,Ljubljana
Solomon Islands,Honiara
Somalia,Mogadishu
South Africa,Pretoria
South Korea,Seoul
South Sudan,Juba
Spain,Madrid
Sri Lanka,Colombo [Sri Jayawardenepura Kotte]
Sudan,Khartoum
Suriname,Paramaribo
Sweden,Stockholm
Switzerland,Bern
Syria,Damascus
Taiwan,Taipei
Tajikistan,Dushanbe
Tanzania,Dodoma
Thailand,Bangkok
Togo,Lomé
Tonga,Nuku'alofa
Trinidad and Tobago,Port of Spain
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
Uganda,Kampala
Ukraine,Kyiv
United Arab Emirates,Abu Dhabi
United Kingdom,London
United States,Washington
Uruguay,Montevideo
Uzbekistan,Tashkent
Vanuatu,Port Vila
Venezuela,Caracas
Vietnam,Hanoi
United Kingdom,Cardiff
Yemen,Sana'a
Zambia,Lusaka
Zimbabwe,Harare